_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"1.374793","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.374795","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=19734 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.374797","5.9.29.183","172.19.0.3","TCP","1177","9002 → 43520 [PSH, ACK] Seq=21194 Ack=3715 Win=65535 Len=1121 [TCP segment of a reassembled PDU]"
"1.374841","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=22315 Win=11853 Len=0"
"1.389300","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.389370","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=23775 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.389393","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=25211 Win=11903 Len=0"
"1.389844","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=25211 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"1.390006","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.390018","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=28119 Win=11911 Len=0"
"1.390050","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=28119 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.390114","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=29555 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"1.390179","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=31003 Win=11895 Len=0"
"1.390685","5.9.29.183","172.19.0.3","TLSv1.2","1504","Application Data [TCP segment of a reassembled PDU]"
"1.390810","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=32451 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"1.390821","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=33899 Win=11903 Len=0"
"1.391029","172.19.0.3","5.9.29.183","TLSv1.2","1113","Application Data"
"1.391262","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=33899 Ack=4772 Win=65535 Len=0"
"1.405511","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.405578","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=35359 Ack=4772 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.405596","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4772 Ack=36819 Win=11903 Len=0"
"1.405599","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.405603","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.405682","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=39739 Ack=4772 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.405688","5.9.29.183","172.19.0.3","TLSv1.2","1444","Application Data [TCP segment of a reassembled PDU]"
"1.405691","5.9.29.183","172.19.0.3","TLSv1.2","625","Application Data"
"1.405717","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4772 Ack=43156 Win=11863 Len=0"
"1.421009","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.426315","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.426699","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=44213 Ack=5315 Win=65535 Len=0"
"1.775466","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.776412","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.776792","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=44756 Ack=5858 Win=65535 Len=0"
"2.028820","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.028894","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=46216 Ack=5858 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.028905","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
